date,passage,samples,strata
2024-05-13,0,0,1
2024-05-14,0,0,1
2024-05-15,0,0,1
2024-05-16,0,0,1
2024-05-17,0,0,1
2024-05-18,0,0,1
2024-05-19,1,0,1
2024-05-20,1,0,1
2024-05-21,2,0,1
2024-05-22,0,0,1
2024-05-23,2,0,1
2024-05-24,0,0,1
2024-05-25,0,0,1
2024-05-26,1,0,1
2024-05-27,2,1,1
2024-05-28,2,0,1
2024-05-29,1,0,1
2024-05-30,0,0,1
2024-05-31,1,0,1
2024-06-01,4,1,1
2024-06-02,2,0,1
2024-06-03,6,2,1
2024-06-04,1,0,1
2024-06-05,0,0,1
2024-06-06,7,3,1
2024-06-07,5,0,1
2024-06-08,0,0,1
2024-06-09,0,0,1
2024-06-10,5,2,1
2024-06-11,4,2,1
2024-06-12,0,0,1
2024-06-13,0,0,1
2024-06-14,0,0,1
2024-06-15,5,3,1
2024-06-16,41,8,1
2024-06-17,21,4,1
2024-06-18,4,0,1
2024-06-19,2,1,1
2024-06-20,4,0,1
2024-06-21,0,4,1
2024-06-22,3,2,1
2024-06-23,9,9,1
2024-06-24,25,5,1
2024-06-25,8,8,1
2024-06-26,37,10,1
2024-06-27,30,9,1
2024-06-28,48,15,1
2024-06-29,50,8,1
2024-06-30,32,5,1
2024-07-01,46,8,1
2024-07-02,29,0,1
2024-07-03,17,6,1
2024-07-04,69,14,1
2024-07-05,35,4,1
2024-07-06,94,0,1
2024-07-07,19,4,1
2024-07-08,83,5,1
2024-07-09,23,3,1
2024-07-10,5,0,1
2024-07-11,7,3,1
2024-07-12,17,1,1
2024-07-13,6,2,1
2024-07-14,34,1,1
2024-07-15,32,9,1
2024-07-16,3,2,1
2024-07-17,4,0,1
2024-07-18,1,0,1
2024-07-19,20,0,1
2024-07-20,15,0,1
2024-07-21,16,0,1
2024-07-22,2,0,1
2024-07-23,0,0,1
2024-07-24,2,0,1
2024-07-25,3,0,1
2024-07-26,2,0,1
2024-07-27,7,0,1
2024-07-28,8,0,1
2024-07-29,1,0,1
2024-07-30,4,0,1
2024-07-31,1,0,1
2024-08-01,1,0,1
2024-08-02,8,0,1
2024-08-03,8,0,1
2024-08-04,8,0,1
2024-08-05,12,0,1
2024-08-06,1,0,1
2024-08-07,0,0,1
2024-08-08,4,0,1
2024-08-09,1,0,1
